,loss,accuracy,auc_4,val_loss,val_accuracy,val_auc_4
0,0.5973547697067261,0.6807782649993896,0.7377076148986816,0.5788223147392273,0.6997445821762085,0.7575108408927917
1,0.5631857514381409,0.7092759013175964,0.7731389999389648,0.5688381195068359,0.709067702293396,0.76816326379776
2,0.5537342429161072,0.7171950936317444,0.7823758721351624,0.5643212795257568,0.712005078792572,0.7728691697120667
3,0.5474410057067871,0.721523642539978,0.7884459495544434,0.5624094605445862,0.713409960269928,0.7750009298324585
4,0.5427599549293518,0.7242910861968994,0.7929006814956665,0.5611408948898315,0.7127714157104492,0.7763113975524902
5,0.5387386083602905,0.7273991703987122,0.7967023253440857,0.5600887537002563,0.7125159502029419,0.7774472832679749
6,0.535056471824646,0.7300105094909668,0.8001222610473633,0.5591421723365784,0.7122605443000793,0.7785198092460632
7,0.5315614938735962,0.7321251034736633,0.8033297657966614,0.558315098285675,0.7116219401359558,0.779413640499115
8,0.5281980633735657,0.7341687679290771,0.8063334822654724,0.5576466917991638,0.7107279896736145,0.78019118309021
9,0.5249196887016296,0.7365814447402954,0.8092753291130066,0.5570573210716248,0.710983395576477,0.780866265296936
10,0.5216849446296692,0.7388095855712891,0.8121324777603149,0.5565608739852905,0.712388277053833,0.7814826369285583
11,0.5184715390205383,0.7409809827804565,0.8148961067199707,0.5561943054199219,0.7108556628227234,0.7820835709571838
12,0.5152466297149658,0.743308424949646,0.8176838755607605,0.555880606174469,0.7107279896736145,0.7825832962989807
13,0.5119825601577759,0.7451108694076538,0.820442795753479,0.5556958913803101,0.7108556628227234,0.7829623222351074
14,0.5086851716041565,0.7472112774848938,0.8232164978981018,0.5556252002716064,0.7122605443000793,0.7832606434822083
15,0.505328357219696,0.7496948838233948,0.825993537902832,0.5556186437606812,0.710983395576477,0.783549427986145
16,0.5019104480743408,0.7514404654502869,0.8287808299064636,0.5558195114135742,0.7121328115463257,0.7837549448013306
17,0.49841487407684326,0.7535551190376282,0.8316495418548584,0.5561492443084717,0.7127714157104492,0.783784031867981
18,0.49487191438674927,0.7565212249755859,0.8344874382019043,0.5566321015357971,0.7127714157104492,0.783781111240387
