,loss,accuracy,auc_46,val_loss,val_accuracy,val_auc_46
0,4.243612289428711,0.6192415952682495,0.6617723703384399,0.6056415438652039,0.6872286200523376,0.7485266327857971
1,0.6079133749008179,0.6692401766777039,0.7232104539871216,0.5846866369247437,0.6982120275497437,0.7592904567718506
2,0.5886014103889465,0.6895489692687988,0.7476082444190979,0.5769690871238708,0.7061302661895752,0.7642269730567932
3,0.5778124928474426,0.6983338594436646,0.7595303654670715,0.5733625888824463,0.7056193947792053,0.7662544250488281
4,0.5708650946617126,0.7048763632774353,0.7675139307975769,0.5715895891189575,0.7083014249801636,0.767654299736023
5,0.565455973148346,0.7088359594345093,0.7728380560874939,0.5707330703735352,0.7081736922264099,0.7683634757995605
6,0.5614436268806458,0.7132354974746704,0.7778581380844116,0.5704066753387451,0.7049808502197266,0.7686024904251099
7,0.5615440011024475,0.7136328816413879,0.7780152559280396,0.5713929533958435,0.705747127532959,0.7681742310523987
8,0.5599741339683533,0.7122562527656555,0.7799267172813416,0.5722317695617676,0.7081736922264099,0.7682152390480042
9,0.555871844291687,0.7163719534873962,0.783545732498169,0.5711216926574707,0.7052362561225891,0.7685613036155701
